egiftID,Main_id
AB0133,35566-1
AB0134,35645-3
AB0135,33352-8
AB0136,33460-8
AB0137,33517-3
AB0138,33578-8
AB0139,33695-2
AB0140,33731-7
AB0141,34099-3
AB0142,34246-7
AB0143,34606-5
AB0144,34790-9
AB0145,34800-5
AB0146,34932-1
AB0147,34989-7
AB0148,36338-1
AB0149,36358-5
AB0151,36583-9
AB0152,36674-4
AB0153,36798-9
AB0154,36987-7
AB0155,37044-2
AB0156,37387-6
AB0157,37445-1
AB0158,37469-7
AB0159,37605-1
AB0160,37611-6
AB0161,37644-6
AB0162,37688-6
AB0163,40034-1
AB0164,40127-2
AB0165,16784-6
AB0166,40222-6
AB0167,40386-9
AB0168,40460-6
AB0169,40524-9
AB0170,40615-4
AB0171,41042-5
AB0172,41351-6
AB0173,41427-2
AB0174,41438-2
AB0175,41747-3
AB0176,41812-6
AB0177,41875-7
AB0178,42044-4
AB0179,42312-4
AB0180,42395-9
AB0181,42598-6
AB0183,42745-0
AB0185,43555-2
AB0186,42881-5
AB0187,48137-3
AB0188,48169-0
AB0189,48183-6
AB0191,48512-0
AB0192,48543-4
AB0193,48896-5
AB0194,49068-1
AB0195,49961-1
AB0196,50385-3
AB0197,43808-3
AB0198,50815-9
AB0199,51056-1
AB0200,51562-1
AB0201,51736-0
AB0202,52223-2
AB0203,52256-2
AB0205,43905-3
AB0206,52915-4
AB0207,43959-0
AB0209,44037-2
AB0210,60042-6
AB0211,53663-9
AB0212,53941-6
AB0213,54179-2
AB0214,54757-6
AB0215,55114-8
AB0217,55459-8
AB0218,55753-7
AB0219,55778-6
AB0220,55942-5
AB0221,55960-3
AB0222,56085-4
AB0225,60233-0
AB0227,56696-8
AB0228,56899-5
AB0229,57011-6
AB0230,57044-6
AB0231,57318-4
AB0232,57449-7
AB0233,57746-5
AB0234,58069-8
AB0235,58285-8
AB0236,58568-0
AB0238,58731-6
AB0239,46014-5
AB0240,46034-9
AB0241,46086-0
AB0242,58943-7
AB0243,58950-5
AB0244,59061-7
AB0245,59320-3
AB0247,59434-1
AB0248,59796-6
AB0249,59955-3
AB0250,70235-3
AB0251,70322-6
AB0252,70356-9
AB0254,70795-0
AB0255,70862-9
AB0256,70986-4
AB0257,71025-1
AB0258,71372-4
AB0259,71671-8
AB0260,46132-2
AB0261,46182-7
AB0262,46192-4
AB0263,71849-9
AB0264,71861-9
AB0265,71929-4
AB0266,72049-0
AB0267,72083-0
AB0268,72088-5
AB0269,72136-3
AB0270,72225-2
AB0271,72356-5
AB0272,72619-3
AB0273,73144-7
AB0274,73354-2
AB0275,74018-2
AB0276,74093-3
AB0277,74103-9
AB0278,74158-9
AB0279,74243-6
AB0280,74245-2
AB0281,74275-3
AB0282,74314-7
AB0283,74466-7
AB0284,74524-2
AB0285,74951-0
AB0286,75065-1
AB0288,75313-7
AB0289,75561-4
AB0290,75596-0
AB0291,75870-5
AB0292,76149-1
AB0293,76284-3
AB0294,76300-4
AB0295,76341-5
AB0296,76522-2
AB0297,76819-3
AB0298,76823-2
AB0299,76864-3
AB0300,76870-8
AB0301,46235-0
AB0302,46236-3
AB0304,43079-3
AB0305,77398-4
AB0306,77496-7
AB0307,77627-9
AB0308,77684-2
AB0309,77716-8
AB0310,77857-8
AB0311,78049-8
AB0312,78533-8
AB0313,78716-1
AB0314,78722-6
AB0315,78856-8
AB0316,79103-4
AB0317,79158-4
AB0318,79300-3
AB0319,79436-1
AB0320,79474-3
AB0321,79478-5
AB0322,25726-4
AB0323,25731-6
AB0324,28443-1
AB0325,79643-7
AB0326,79692-9
AB0327,79811-8
AB0328,80025-5
AB0329,80038-1
AB0330,80121-2
AB0331,80272-9
AB0332,80370-2
AB0333,80480-8
AB0334,80484-0
AB0335,80812-1
AB0336,81202-3
AB0337,81206-5
AB0338,81308-0
AB0339,81344-6
AB0340,81424-1
AB0341,81528-2
AB0342,81713-8
AB0344,82585-8
AB0345,83230-4
AB0346,83362-0
AB0347,83364-6
AB0348,83417-9
AB0349,83566-0
AB0351,83936-5
AB0352,84019-2
AB0353,84056-1
AB0354,84153-1
AB0355,84281-5
AB0356,84300-5
AB0357,84655-2
AB0358,84702-7
AB0359,84797-5
AB0360,86706-5
AB0361,86884-4
AB0362,86906-3
AB0363,86956-8
AB0364,86992-4
AB0366,87476-0
AB0367,87719-4
AB0368,87724-6
AB0369,87997-2
AB0370,88060-2
AB0371,88264-2
AB0372,88741-4
AB0373,88848-4
AB0374,88896-3
AB0375,89128-0
AB0376,89177-2
AB0377,89206-9
AB0378,89253-5
AB0379,89290-4
AB0380,89319-4
AB0381,89368-6
AB0382,89421-6
AB0383,89511-8
AB0384,89859-7
AB0385,89888-5
AB0386,28655-2
AB0387,28676-9
AB0388,60812-7
AB0389,61232-0
AB0390,61502-6
AB0391,61512-3
AB0392,61641-0
AB0393,61754-5
AB0394,61769-7
AB0395,61948-8
AB0396,61949-1
AB0397,62022-8
AB0398,62228-4
AB0399,62294-1
AB0400,62853-4
AB0401,63030-2
AB0402,63199-0
AB0403,63230-0
AB0404,63382-0
AB0405,63459-9
AB0406,63748-6
AB0408,63845-6
AB0409,63911-2
AB0410,64004-6
AB0411,64164-7
AB0412,64318-2
AB0413,64508-3
AB0414,64596-0
AB0415,65146-2
AB0416,65338-9
AB0418,65742-4
AB0419,65993-0
AB0420,66279-4
AB0421,66311-7
AB0423,66668-0
AB0424,66696-5
AB0426,66715-5
AB0427,66749-8
AB0428,66783-8
AB0429,66850-7
AB0430,67119-6
AB0431,67155-2
AB0433,67561-3
AB0435,67599-8
AB0436,68065-3
AB0437,68185-6
AB0438,68565-8
AB0439,68710-6
AB0440,68945-0
AB0441,69031-3
AB0442,69123-1
AB0443,69360-8
AB0446,69869-0
AB0447,69872-6
AB0448,69930-1
AB0449,39037-0
AB0450,39128-5
AB0451,39129-8
AB0452,39469-3
AB0453,39957-5
AB0454,39967-2
AB0455,38396-3
AB0456,38426-3
AB0457,38650-4
AB0458,38839-5
AB0459,13517-9
AB0460,13834-1
AB0461,13838-3
AB0463,21512-5
AB0464,21657-7
AB0465,21726-2
AB0466,35868-4
AB0468,35934-0
AB0469,90008-7
AB0470,90016-8
AB0471,90053-7
AB0472,90109-9
AB0473,90356-3
AB0474,90447-8
AB0475,90465-6
AB0476,90881-4
AB0477,91097-0
AB0478,91456-5
AB0479,91472-7
AB0480,91822-8
AB0481,91849-3
AB0482,91857-4
AB0483,92031-3
AB0484,92151-6
AB0485,92265-4
AB0486,92395-4
AB0487,92510-1
