FundraisedAmount,Main_ID,Description,EventYear
"5,606",57190-8,"Sturbridge to Bourne (1-Day, Sat)",2022
"6,400",61298-0,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,000",11407-A,"Sturbridge to Bourne (1-Day, Sat)",2022
"17,036.55",95930-0,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,000",97034-7,"Sturbridge to Bourne (1-Day, Sat)",2022
"7,607",97053-8,"Sturbridge to Bourne (1-Day, Sat)",2022
"6,189.55",97063-5,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,882.1",11654-1,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,000",74800-3,"Sturbridge to Bourne (1-Day, Sat)",2022
"8,692",97280-8,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,081",99257-4,"Sturbridge to Bourne (1-Day, Sat)",2022
"9,024.2",79671-2,"Sturbridge to Bourne (1-Day, Sat)",2022
"9,600",83929-7,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,770",84263-7,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,551.36",98059-9,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,863",93840-2,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,000",26735-1,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,000",69740-0,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,196",33412-9,"Sturbridge to Bourne (1-Day, Sat)",2022
"6,661",03047-8,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,000",41844-3,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,493",12686-A,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,375",62575-7,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,245",78035-9,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,638",12325-A,"Sturbridge to Bourne (1-Day, Sat)",2022
"7,722",56851-3,"Sturbridge to Bourne (1-Day, Sat)",2022
"8,544.24",66499-6,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,207.94",97184-1,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,286.29",97839-4,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,702.5",12769-A,"Sturbridge to Bourne (1-Day, Sat)",2022
"6,780",30663-6,"Sturbridge to Bourne (1-Day, Sat)",2022
"10,000",74935-8,"Sturbridge to Bourne (1-Day, Sat)",2022
"10,200",66415-8,"Sturbridge to Bourne (1-Day, Sat)",2022
"6,945",66564-9,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,797.82",11328-A,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,125",11391-A,"Sturbridge to Bourne (1-Day, Sat)",2022
"5,179.94",11471-A,"Sturbridge to Bourne (1-Day, Sat)",2022
"6,696.38",51045-1,"Sturbridge to Bourne (1-Day, Sat)",2022
"12,748",87456-6,"Sturbridge to Bourne (1-Day, Sat)",2022
"10,820",11496-A,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,100",61942-0,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,425",78440-7,"Sturbridge to Bourne (1-Day, Sat)",2022
"7,350",38791-4,"Sturbridge to Bourne (1-Day, Sat)",2022
"4,000",12454-A,"Sturbridge to Bourne (1-Day, Sat)",2022
"6,000",13464-A,Sturbridge to Bourne + Wellesley Century (2-Day),2022
"6,060",83504-2,Sturbridge to Bourne + Wellesley Century (2-Day),2022
"6,477",34990-7,Sturbridge to Bourne + Wellesley Century (2-Day),2022
"9,764.73",71756-8,Sturbridge to Bourne + Wellesley Century (2-Day),2022
"15,049.61",37336-8,Sturbridge to Bourne + Wellesley Century (2-Day),2022
165,13220-A,Sturbridge to Bourne + Wellesley Century (2-Day),2022
"22,830",33357-3,Sturbridge to Bourne + Wellesley Century (2-Day),2022
"26,091",34055-3,Sturbridge to Bourne + Wellesley Century (2-Day),2022
"6,656",66940-9,Sturbridge to Bourne + Wellesley Century (2-Day),2022
"8,117",02311-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,365",11552-A,Sturbridge to Provincetown Inn (2-Day),2022
"11,845.3",11576-A,Sturbridge to Provincetown Inn (2-Day),2022
"13,430",11599-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,090",11704-A,Sturbridge to Provincetown Inn (2-Day),2022
"10,538",11858-A,Sturbridge to Provincetown Inn (2-Day),2022
"16,137.45",19008-8,Sturbridge to Provincetown Inn (2-Day),2022
0,19008-8,Sturbridge to Provincetown Inn (2-Day),2022
0,19008-8,Sturbridge to Provincetown Inn (2-Day),2022
"6,845",19068-0,Sturbridge to Provincetown Inn (2-Day),2022
"9,262.57",19109-0,Sturbridge to Provincetown Inn (2-Day),2022
"11,220",32044-7,Sturbridge to Provincetown Inn (2-Day),2022
"6,050",36060-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,750",59725-4,Sturbridge to Provincetown Inn (2-Day),2022
"8,840",65032-4,Sturbridge to Provincetown Inn (2-Day),2022
"12,065",77759-5,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",93268-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,003.01",93381-8,Sturbridge to Provincetown Inn (2-Day),2022
"8,250",00802-8,Sturbridge to Provincetown Inn (2-Day),2022
"2,117,597.95",03662-1,Sturbridge to Provincetown Inn (2-Day),2022
"7,294.8",17489-7,Sturbridge to Provincetown Inn (2-Day),2022
"9,500",22555-5,Sturbridge to Provincetown Inn (2-Day),2022
"16,584.1",27039-3,Sturbridge to Provincetown Inn (2-Day),2022
"20,600.07",39722-1,Sturbridge to Provincetown Inn (2-Day),2022
"322,526.66",02276-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",02279-0,Sturbridge to Provincetown Inn (2-Day),2022
"28,012.18",02368-9,Sturbridge to Provincetown Inn (2-Day),2022
"4,572.82",14530-5,Sturbridge to Provincetown Inn (2-Day),2022
"7,034",14663-4,Sturbridge to Provincetown Inn (2-Day),2022
"8,160",23709-3,Sturbridge to Provincetown Inn (2-Day),2022
"7,265.75",44144-9,Sturbridge to Provincetown Inn (2-Day),2022
"10,839.16",55733-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,425",65111-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,115",71283-5,Sturbridge to Provincetown Inn (2-Day),2022
"52,371.8",73578-6,Sturbridge to Provincetown Inn (2-Day),2022
"43,346",77649-9,Sturbridge to Provincetown Inn (2-Day),2022
"6,047.6",77708-7,Sturbridge to Provincetown Inn (2-Day),2022
"6,030",93167-4,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",93262-8,Sturbridge to Provincetown Inn (2-Day),2022
"8,993.55",93419-2,Sturbridge to Provincetown Inn (2-Day),2022
"6,623.21",17456-7,Sturbridge to Provincetown Inn (2-Day),2022
"8,575",31559-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,592.61",39824-6,Sturbridge to Provincetown Inn (2-Day),2022
"12,604.5",39894-5,Sturbridge to Provincetown Inn (2-Day),2022
"7,330",00931-5,Sturbridge to Provincetown Inn (2-Day),2022
"32,890.65",10007-A,Sturbridge to Provincetown Inn (2-Day),2022
"14,145",10047-6,Sturbridge to Provincetown Inn (2-Day),2022
0,10047-6,Sturbridge to Provincetown Inn (2-Day),2022
"23,965.04",13541-2,Sturbridge to Provincetown Inn (2-Day),2022
"11,856.05",17605-7,Sturbridge to Provincetown Inn (2-Day),2022
"19,487",22682-6,Sturbridge to Provincetown Inn (2-Day),2022
"10,447.05",31424-6,Sturbridge to Provincetown Inn (2-Day),2022
"10,550",31612-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",39820-4,Sturbridge to Provincetown Inn (2-Day),2022
"13,080",39866-0,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",39870-9,Sturbridge to Provincetown Inn (2-Day),2022
"6,796",39945-2,Sturbridge to Provincetown Inn (2-Day),2022
"23,415",56501-1,Sturbridge to Provincetown Inn (2-Day),2022
"15,025",65986-2,Sturbridge to Provincetown Inn (2-Day),2022
"6,989.5",66144-9,Sturbridge to Provincetown Inn (2-Day),2022
"13,090.15",66154-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",66332-4,Sturbridge to Provincetown Inn (2-Day),2022
0,66332-4,Sturbridge to Provincetown Inn (2-Day),2022
"36,767.1",71883-9,Sturbridge to Provincetown Inn (2-Day),2022
"11,231",79909-4,Sturbridge to Provincetown Inn (2-Day),2022
"6,242.75",79995-5,Sturbridge to Provincetown Inn (2-Day),2022
"10,194.58",80104-7,Sturbridge to Provincetown Inn (2-Day),2022
"37,500",80115-7,Sturbridge to Provincetown Inn (2-Day),2022
"6,210",86286-6,Sturbridge to Provincetown Inn (2-Day),2022
"8,000",86316-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,184",13420-6,Sturbridge to Provincetown Inn (2-Day),2022
325,13661-5,Sturbridge to Provincetown Inn (2-Day),2022
"9,640",17555-3,Sturbridge to Provincetown Inn (2-Day),2022
"20,324",17655-2,Sturbridge to Provincetown Inn (2-Day),2022
"1,580",17655-2,Sturbridge to Provincetown Inn (2-Day),2022
"9,650",17666-2,Sturbridge to Provincetown Inn (2-Day),2022
"31,634.6",31542-3,Sturbridge to Provincetown Inn (2-Day),2022
"8,251",39694-7,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",39706-9,Sturbridge to Provincetown Inn (2-Day),2022
"10,905",39765-8,Sturbridge to Provincetown Inn (2-Day),2022
"8,017.6",39863-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,314",39915-1,Sturbridge to Provincetown Inn (2-Day),2022
"80,085",56464-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",56671-9,Sturbridge to Provincetown Inn (2-Day),2022
"15,000",60247-9,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",65857-5,Sturbridge to Provincetown Inn (2-Day),2022
"42,498.75",66084-8,Sturbridge to Provincetown Inn (2-Day),2022
"10,186.52",66146-5,Sturbridge to Provincetown Inn (2-Day),2022
"25,342.75",66250-3,Sturbridge to Provincetown Inn (2-Day),2022
"10,180",79725-8,Sturbridge to Provincetown Inn (2-Day),2022
"16,194",79921-4,Sturbridge to Provincetown Inn (2-Day),2022
"10,387",84808-4,Sturbridge to Provincetown Inn (2-Day),2022
"9,511.11",86322-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,964.72",86340-9,Sturbridge to Provincetown Inn (2-Day),2022
"10,058",91316-8,Sturbridge to Provincetown Inn (2-Day),2022
"7,747.33",99608-8,Sturbridge to Provincetown Inn (2-Day),2022
"15,689.62",01315-2,Sturbridge to Provincetown Inn (2-Day),2022
100,01315-2,Sturbridge to Provincetown Inn (2-Day),2022
"10,000",01503-7,Sturbridge to Provincetown Inn (2-Day),2022
"7,600",10543-A,Sturbridge to Provincetown Inn (2-Day),2022
"12,038",10550-A,Sturbridge to Provincetown Inn (2-Day),2022
"30,508",02431-6,Sturbridge to Provincetown Inn (2-Day),2022
"10,193.86",06741-2,Sturbridge to Provincetown Inn (2-Day),2022
"6,615",11519-A,Sturbridge to Provincetown Inn (2-Day),2022
"15,133.26",11684-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,621",14546-0,Sturbridge to Provincetown Inn (2-Day),2022
"7,750",31979-1,Sturbridge to Provincetown Inn (2-Day),2022
"15,518.18",59841-5,Sturbridge to Provincetown Inn (2-Day),2022
"17,235.1",59902-9,Sturbridge to Provincetown Inn (2-Day),2022
"15,000",65827-4,Sturbridge to Provincetown Inn (2-Day),2022
"10,060.65",77747-2,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",77755-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",93060-4,Sturbridge to Provincetown Inn (2-Day),2022
"9,825",93187-8,Sturbridge to Provincetown Inn (2-Day),2022
"13,210",93241-1,Sturbridge to Provincetown Inn (2-Day),2022
"7,909.72",93317-7,Sturbridge to Provincetown Inn (2-Day),2022
"8,581.96",13549-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",39750-6,Sturbridge to Provincetown Inn (2-Day),2022
"7,118",39868-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,678.85",39881-9,Sturbridge to Provincetown Inn (2-Day),2022
"6,200",39891-6,Sturbridge to Provincetown Inn (2-Day),2022
"12,225",39955-9,Sturbridge to Provincetown Inn (2-Day),2022
"10,059.07",48925-2,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",52698-2,Sturbridge to Provincetown Inn (2-Day),2022
"6,665",60053-6,Sturbridge to Provincetown Inn (2-Day),2022
"15,000",65862-7,Sturbridge to Provincetown Inn (2-Day),2022
"6,540",65935-4,Sturbridge to Provincetown Inn (2-Day),2022
"18,016.11",65951-6,Sturbridge to Provincetown Inn (2-Day),2022
"33,728.7",66082-2,Sturbridge to Provincetown Inn (2-Day),2022
"11,795.18",71898-1,Sturbridge to Provincetown Inn (2-Day),2022
"8,880",72058-4,Sturbridge to Provincetown Inn (2-Day),2022
"17,092",75573-7,Sturbridge to Provincetown Inn (2-Day),2022
"10,479.51",79706-7,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",79805-3,Sturbridge to Provincetown Inn (2-Day),2022
"7,715",99560-7,Sturbridge to Provincetown Inn (2-Day),2022
"7,730",01389-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",01444-9,Sturbridge to Provincetown Inn (2-Day),2022
"6,537.22",10554-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,250",10568-A,Sturbridge to Provincetown Inn (2-Day),2022
"10,747",10574-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,770",10587-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,050",10606-A,Sturbridge to Provincetown Inn (2-Day),2022
"10,130",10607-A,Sturbridge to Provincetown Inn (2-Day),2022
"10,484.75",10641-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,660",10666-A,Sturbridge to Provincetown Inn (2-Day),2022
"8,437",10680-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",10732-A,Sturbridge to Provincetown Inn (2-Day),2022
"11,875",10737-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,735",10769-A,Sturbridge to Provincetown Inn (2-Day),2022
"10,000",10803-A,Sturbridge to Provincetown Inn (2-Day),2022
"200,479.29",02418-3,Sturbridge to Provincetown Inn (2-Day),2022
"16,252",11510-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,931.11",11511-A,Sturbridge to Provincetown Inn (2-Day),2022
"18,871.3",11529-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",11657-0,Sturbridge to Provincetown Inn (2-Day),2022
"6,152.55",11738-A,Sturbridge to Provincetown Inn (2-Day),2022
"7,969.48",11812-A,Sturbridge to Provincetown Inn (2-Day),2022
"10,781.66",36151-6,Sturbridge to Provincetown Inn (2-Day),2022
"9,406.15",40379-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,660.49",40691-8,Sturbridge to Provincetown Inn (2-Day),2022
"10,352.75",59780-1,Sturbridge to Provincetown Inn (2-Day),2022
"9,500",93106-9,Sturbridge to Provincetown Inn (2-Day),2022
"12,030",93372-4,Sturbridge to Provincetown Inn (2-Day),2022
"11,442",93391-5,Sturbridge to Provincetown Inn (2-Day),2022
0,93391-5,Sturbridge to Provincetown Inn (2-Day),2022
"8,558.13",03290-0,Sturbridge to Provincetown Inn (2-Day),2022
"69,054.07",40221-3,Sturbridge to Provincetown Inn (2-Day),2022
"14,335.36",48959-5,Sturbridge to Provincetown Inn (2-Day),2022
"1,500",48959-5,Sturbridge to Provincetown Inn (2-Day),2022
"6,900",65853-3,Sturbridge to Provincetown Inn (2-Day),2022
"98,036.88",65863-0,Sturbridge to Provincetown Inn (2-Day),2022
"35,110",65898-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,112.11",66062-8,Sturbridge to Provincetown Inn (2-Day),2022
"6,488",66089-3,Sturbridge to Provincetown Inn (2-Day),2022
"10,050",66129-0,Sturbridge to Provincetown Inn (2-Day),2022
"6,059.75",66355-7,Sturbridge to Provincetown Inn (2-Day),2022
"12,140",71869-3,Sturbridge to Provincetown Inn (2-Day),2022
100,71869-3,Sturbridge to Provincetown Inn (2-Day),2022
"17,595.05",71976-0,Sturbridge to Provincetown Inn (2-Day),2022
"6,205",10613-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",10642-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,050",10649-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",10658-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,438.14",10774-A,Sturbridge to Provincetown Inn (2-Day),2022
"7,931.48",10794-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",10832-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,717",10839-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,650",10638-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,211.28",10674-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,715.41",10707-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",10719-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,530.05",10782-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,580",10863-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",10929-A,Sturbridge to Provincetown Inn (2-Day),2022
"59,480",40814-9,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",40839-8,Sturbridge to Provincetown Inn (2-Day),2022
"19,527.72",40854-7,Sturbridge to Provincetown Inn (2-Day),2022
811,40854-7,Sturbridge to Provincetown Inn (2-Day),2022
"10,860.22",48075-6,Sturbridge to Provincetown Inn (2-Day),2022
"8,367",48283-5,Sturbridge to Provincetown Inn (2-Day),2022
"33,794",59148-3,Sturbridge to Provincetown Inn (2-Day),2022
"9,631.28",59475-2,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",75094-9,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",78519-2,Sturbridge to Provincetown Inn (2-Day),2022
"9,722",83480-7,Sturbridge to Provincetown Inn (2-Day),2022
"7,655",83589-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,310",83655-9,Sturbridge to Provincetown Inn (2-Day),2022
"8,705",90490-2,Sturbridge to Provincetown Inn (2-Day),2022
"8,171",90556-1,Sturbridge to Provincetown Inn (2-Day),2022
"1,500",90556-1,Sturbridge to Provincetown Inn (2-Day),2022
"10,000.5",10371-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,653.75",10455-A,Sturbridge to Provincetown Inn (2-Day),2022
"145,596.92",02409-9,Sturbridge to Provincetown Inn (2-Day),2022
"2,000",02409-9,Sturbridge to Provincetown Inn (2-Day),2022
"6,000.18",11545-A,Sturbridge to Provincetown Inn (2-Day),2022
"13,945",18926-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,420",19011-4,Sturbridge to Provincetown Inn (2-Day),2022
"12,599",31992-4,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",51992-8,Sturbridge to Provincetown Inn (2-Day),2022
"10,356",64921-2,Sturbridge to Provincetown Inn (2-Day),2022
0,64921-2,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",65802-5,Sturbridge to Provincetown Inn (2-Day),2022
"10,745.87",65832-6,Sturbridge to Provincetown Inn (2-Day),2022
"1,258.55",65832-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,110.5",71320-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",73992-8,Sturbridge to Provincetown Inn (2-Day),2022
"6,075",81452-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,487",93018-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",93160-3,Sturbridge to Provincetown Inn (2-Day),2022
"9,170",90837-7,Sturbridge to Provincetown Inn (2-Day),2022
"9,575",04165-8,Sturbridge to Provincetown Inn (2-Day),2022
"6,715.91",10539-A,Sturbridge to Provincetown Inn (2-Day),2022
"7,740",10542-A,Sturbridge to Provincetown Inn (2-Day),2022
"12,340",10576-A,Sturbridge to Provincetown Inn (2-Day),2022
"8,018",10598-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,595.1",10622-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",10734-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,204.12",10739-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",10838-A,Sturbridge to Provincetown Inn (2-Day),2022
"8,547.6",10892-A,Sturbridge to Provincetown Inn (2-Day),2022
0,10892-A,Sturbridge to Provincetown Inn (2-Day),2022
"10,100",10918-A,Sturbridge to Provincetown Inn (2-Day),2022
"11,382.5",36613-9,Sturbridge to Provincetown Inn (2-Day),2022
"10,024.54",40796-2,Sturbridge to Provincetown Inn (2-Day),2022
"23,241.52",48405-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",59330-0,Sturbridge to Provincetown Inn (2-Day),2022
"10,502.55",64111-3,Sturbridge to Provincetown Inn (2-Day),2022
"7,304",70656-6,Sturbridge to Provincetown Inn (2-Day),2022
"7,330",10872-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,867.31",19639-6,Sturbridge to Provincetown Inn (2-Day),2022
"9,525",24542-5,Sturbridge to Provincetown Inn (2-Day),2022
"22,310.06",32108-0,Sturbridge to Provincetown Inn (2-Day),2022
"1,500",32108-0,Sturbridge to Provincetown Inn (2-Day),2022
"7,475",36508-8,Sturbridge to Provincetown Inn (2-Day),2022
"17,126",36592-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",36786-6,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",40971-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,049.79",46195-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",48331-3,Sturbridge to Provincetown Inn (2-Day),2022
"1,500",48331-3,Sturbridge to Provincetown Inn (2-Day),2022
"20,662.91",51529-4,Sturbridge to Provincetown Inn (2-Day),2022
"2,939",51529-4,Sturbridge to Provincetown Inn (2-Day),2022
"8,033",51549-8,Sturbridge to Provincetown Inn (2-Day),2022
0,51549-8,Sturbridge to Provincetown Inn (2-Day),2022
"9,339.8",55149-4,Sturbridge to Provincetown Inn (2-Day),2022
"15,551",55476-3,Sturbridge to Provincetown Inn (2-Day),2022
775.6,55476-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",55549-0,Sturbridge to Provincetown Inn (2-Day),2022
"6,405",70805-6,Sturbridge to Provincetown Inn (2-Day),2022
"8,445",75010-1,Sturbridge to Provincetown Inn (2-Day),2022
"50,639.3",78698-4,Sturbridge to Provincetown Inn (2-Day),2022
"16,910",79057-2,Sturbridge to Provincetown Inn (2-Day),2022
"7,275.5",83583-5,Sturbridge to Provincetown Inn (2-Day),2022
"6,726.28",83611-9,Sturbridge to Provincetown Inn (2-Day),2022
"21,457",10359-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,825.08",18691-1,Sturbridge to Provincetown Inn (2-Day),2022
"18,435",23130-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",27802-3,Sturbridge to Provincetown Inn (2-Day),2022
"15,564.88",39781-0,Sturbridge to Provincetown Inn (2-Day),2022
"6,300",39956-2,Sturbridge to Provincetown Inn (2-Day),2022
"12,123.82",48927-8,Sturbridge to Provincetown Inn (2-Day),2022
"17,111.11",65872-4,Sturbridge to Provincetown Inn (2-Day),2022
"6,265",65918-9,Sturbridge to Provincetown Inn (2-Day),2022
"15,000",65994-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,349.28",66227-3,Sturbridge to Provincetown Inn (2-Day),2022
"14,965.5",66326-9,Sturbridge to Provincetown Inn (2-Day),2022
"21,158.55",71826-6,Sturbridge to Provincetown Inn (2-Day),2022
"29,999.9",71870-3,Sturbridge to Provincetown Inn (2-Day),2022
"15,445",72045-8,Sturbridge to Provincetown Inn (2-Day),2022
"10,280",79883-3,Sturbridge to Provincetown Inn (2-Day),2022
"7,900",80065-3,Sturbridge to Provincetown Inn (2-Day),2022
"7,858.75",10553-A,Sturbridge to Provincetown Inn (2-Day),2022
"7,060",10569-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,050",10570-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,485.09",10577-A,Sturbridge to Provincetown Inn (2-Day),2022
"10,050",10627-A,Sturbridge to Provincetown Inn (2-Day),2022
"11,108.45",10635-A,Sturbridge to Provincetown Inn (2-Day),2022
"10,295",10679-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,216",10723-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,017",10784-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,700",10888-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,985.65",22620-8,Sturbridge to Provincetown Inn (2-Day),2022
"6,773.56",27335-8,Sturbridge to Provincetown Inn (2-Day),2022
"7,010",39732-8,Sturbridge to Provincetown Inn (2-Day),2022
"11,163",39767-4,Sturbridge to Provincetown Inn (2-Day),2022
"10,650",39794-6,Sturbridge to Provincetown Inn (2-Day),2022
"18,400",39929-0,Sturbridge to Provincetown Inn (2-Day),2022
"12,725",39941-0,Sturbridge to Provincetown Inn (2-Day),2022
"7,892",40156-0,Sturbridge to Provincetown Inn (2-Day),2022
"10,589",48807-5,Sturbridge to Provincetown Inn (2-Day),2022
"8,044.75",65885-0,Sturbridge to Provincetown Inn (2-Day),2022
"6,050",66093-2,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",66160-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,995",66196-0,Sturbridge to Provincetown Inn (2-Day),2022
"7,324.75",66315-9,Sturbridge to Provincetown Inn (2-Day),2022
"26,626.25",71803-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,175",75538-4,Sturbridge to Provincetown Inn (2-Day),2022
"15,730",80114-4,Sturbridge to Provincetown Inn (2-Day),2022
"28,175",86347-0,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",99643-1,Sturbridge to Provincetown Inn (2-Day),2022
"6,339.37",04164-5,Sturbridge to Provincetown Inn (2-Day),2022
"6,076.1",10663-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,396",10664-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,500",10692-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,000",10703-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,741.2",10742-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,679.46",10743-A,Sturbridge to Provincetown Inn (2-Day),2022
"6,100",10786-A,Sturbridge to Provincetown Inn (2-Day),2022
"7,870.05",10787-A,Sturbridge to Provincetown Inn (2-Day),2022
"9,920",10826-A,Sturbridge to Provincetown Inn (2-Day),2022
"7,505",10848-A,Sturbridge to Provincetown Inn (2-Day),2022
"21,424.1",15368-5,Sturbridge to Provincetown Inn (2-Day),2022
"20,500.5",32139-4,Sturbridge to Provincetown Inn (2-Day),2022
"10,275",32614-0,Sturbridge to Provincetown Inn (2-Day),2022
"11,705",36655-3,Sturbridge to Provincetown Inn (2-Day),2022
"10,720",55391-3,Sturbridge to Provincetown Inn (2-Day),2022
"7,905",59313-5,Sturbridge to Provincetown Inn (2-Day),2022
"9,810",59370-8,Sturbridge to Provincetown Inn (2-Day),2022
"20,300",70591-0,Sturbridge to Provincetown Inn (2-Day),2022
"1,500",70591-0,Sturbridge to Provincetown Inn (2-Day),2022
"6,060",70617-1,Sturbridge to Provincetown Inn (2-Day),2022
"9,925",75326-3,Sturbridge to Provincetown Inn (2-Day),2022
"6,210",75376-8,Sturbridge to Provincetown Inn (2-Day),2022
"10,120",78735-2,Sturbridge to Provincetown Inn (2-Day),2022
"9,560",78831-9,Sturbridge to Provincetown Inn (2-Day),2022
"9,500.55",83703-7,Sturbridge to Provincetown Inn (2-Day),2022
"6,320.75",90405-4,Sturbridge to Provincetown Inn (2-Day),2022
