FundraisedAmount,Main_ID,Description,EventYear
"6,000",11532-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"9,518.75",52112-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"16,006.5",66294-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",11582-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"9,800",10766-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,582",10772-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"10,001.1",10869-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,749.69",11788-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,020",10535-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",11522-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,969",11836-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"17,144",31678-1,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"12,944",10797-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,347.55",10891-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",10181-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,234",39970-8,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"11,955",86034-7,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",90754-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,362.1",10536-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,879",10458-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,160",67061-8,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,003",10012-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,325",10675-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",11203-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,125",10954-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,145",10975-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,465",63635-1,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,325",90392-9,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"10,804.13",39564-7,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"10,222.5",75405-5,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,023.7",10399-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"18,435",67165-9,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"15,075",10997-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,875.88",11404-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,665",10905-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"10,370",64215-4,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"17,094",94591-6,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"8,465",11118-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000.69",10400-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"9,781",96606-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"19,252",12849-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"8,000",12850-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"9,500",87745-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"9,100",13372-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"18,763.5",61903-5,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,555.56",88526-7,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"4,300",98541-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"11,540",98123-9,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"8,100",66634-7,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,100",93947-2,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"11,850",13880-4,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,631.1",12831-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",12851-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",13215-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"22,014.63",13352-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",68599-1,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,775",88312-0,"Bourne to Provincetown Monument (1-Day, Sun)",2022
